"","From.station.id","n","StationName","Latitude","Longitude"
"1","1000",6717,"Liberty & Stanwix",40.441326,-80.004679
"2","1001",6633,"Forbes Ave & Market Sq",40.440877,-80.00308
"3","1002",2107,"Third & Wood",40.43903,-80.00186
"4","1003",2327,"First Ave & Smithfield St",40.4372,-80.000375
"5","1004",3113,"First Ave & B St",40.4358002,-79.9968767
"6","1005",2258,"Forbes Ave & Grant St",40.4387769,-79.9974405
"7","1006",2350,"Ross St & Sixth Ave",40.4400542,-79.9951376
"8","1007",1766,"Stevenson St & Forbes Ave",40.437643,-79.986695
"9","1008",1147,"Centre Ave and Consol",40.440368,-79.988636
"10","1009",2533,"12th St & Penn Ave",40.445844,-79.99238
"11","1010",6034,"10th St & Penn Ave",40.444614,-79.9958114
"12","1011",2928,"Fort Duquesne Blvd & 7th",40.4448352,-80.0007479
"13","1012",5007,"North Shore Trail & Ft Duquesne Bridge",40.445834,-80.008882
"14","1013",4895,"Isabella St & Federal St",40.447571,-80.003964
"15","1014",1571,"Ridge Ave & Brighton Rd (CCAC)",40.450595,-80.013204
"16","1015",2782,"Federal St & E North Ave",40.45509087,-80.0063467
"17","1016",3530,"17th St & Penn Ave",40.449631,-79.985893
"18","1017",5738,"21st St & Penn Ave",40.452124,-79.983543
"19","1018",2455,"37th St & Butler St",40.466103,-79.964628
"20","1019",3154,"42nd St & Butler St",40.470188,-79.9603066
"21","1020",2102,"42nd St & Penn Ave",40.465893,-79.954417
"22","1021",1930,"Taylor St & Liberty Ave",40.462769,-79.950867
"23","1022",1744,"Liberty Ave & S Millvale",40.4599487,-79.9456124
"24","1023",1943,"Liberty Ave & Baum Blvd",40.456505,-79.939362
"25","1024",1389,"S Negley Ave & Baum Blvd",40.458714,-79.933483
"26","1025",1541,"Penn Ave & N Fairmount St",40.464443,-79.933188
"27","1026",1262,"S Whitfield St & Baum Blvd",40.460982,-79.926302
"28","1027",890,"Shady Ave & Ellsworth Ave",40.458972,-79.922023
"29","1028",1628,"Penn Ave & Putnam St (Bakery Sq)",40.455821,-79.915248
"30","1029",2213,"Alder St & S Higland Ave",40.4573211,-79.9248275
"31","1030",706,"S Euclid Ave & Centre Ave",40.4589116,-79.9290211
"32","1031",1229,"Maryland Ave & Ellsworth Ave",40.45628,-79.930962
"33","1032",2042,"Maryland Ave & Walnut St",40.452621,-79.928637
"34","1033",3245,"Ivy St & Walnut St",40.45177,-79.932324
"35","1034",2144,"Ellsworth Ave & N Neville St",40.448419,-79.947401
"36","1035",2192,"Fifth Ave & S Dithridge St",40.446744,-79.950881
"37","1036",3184,"Schenley Dr at Schenley Plaza",40.442398,-79.951479
"38","1037",2178,"Frew St & Schenley Dr",40.441032,-79.948042
"39","1038",3269,"Boulevard of the Allies & Parkview Ave",40.434338,-79.951877
"40","1039",2058,"Atwood St & Bates",40.437987,-79.95367
"41","1040",2207,"Bigelow Blvd & Fifth Ave",40.4446284,-79.9550156
"42","1041",3929,"Fifth Ave & S Bouquet",40.442325,-79.957604
"43","1042",348,"Centre Ave & Kirkpatrick St",40.445019,-79.977194
"44","1043",1281,"Coltart Ave & Forbes Ave",40.438876,-79.960179
"45","1044",1467,"Zulema St & Coltart Ave",40.435986,-79.956942
"46","1045",7366,"S 27th & Tunnel Blvd",40.428658,-79.965228
"47","1046",2326,"S 25th St & E Carson St",40.42802,-79.969799
"48","1047",2744,"S 22nd St & E Carson St",40.428576,-79.974559
"49","1048",3413,"S 18th St & Sidney St",40.429338,-79.980684
"50","1049",4388,"S 12th St & E Carson St",40.4285528,-79.9863687
